State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Arecanut,1254.00,2000.00
Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Other Kharif pulses,2.00,1.00
Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Rice,102.00,321.00
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Banana,176.00,641.00
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Cashewnut,720.00,165.00
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Coconut ,18168.00,65100000.00
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Dry ginger,36.00,100.00
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sugarcane,1.00,2.00
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sweet potato,5.00,15.00
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Tapioca,40.00,169.00
Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Arecanut,1254.00,2061.00
Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Other Kharif pulses,2.00,1.00
Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Rice,83.00,300.00
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Cashewnut,719.00,192.00
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Coconut ,18190.00,64430000.00
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Dry ginger,46.00,100.00
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sugarcane,1.00,1.00
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sweet potato,11.00,33.00
Andaman and Nicobar Islands,NICOBARS,2002,Kharif     ,Rice,189.20,510.84
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Arecanut,1258.00,2083.00
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Banana,213.00,1278.00
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Black pepper,63.00,13.50
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Cashewnut,719.00,208.00
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Coconut ,18240.00,67490000.00
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Dry chillies,413.00,28.80
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Dry ginger,47.30,133.00
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Sugarcane,5.00,40.00
Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,Rice,52.00,90.17
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Arecanut,1261.00,1525.00
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Banana,266.00,1763.00
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Black pepper,75.50,15.86
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Cashewnut,717.00,208.50
