State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Arecanut,1254.0,2000.0,1.594896331738437
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Other Kharif pulses,2.0,1.0,0.5
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Rice,102.0,321.0,3.1470588235294117
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Banana,176.0,641.0,3.6420454545454546
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Cashewnut,720.0,165.0,0.22916666666666666
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Coconut,18168.0,65100000.0,3583.223249669749
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Dry ginger,36.0,100.0,2.7777777777777777
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Sugarcane,1.0,2.0,2.0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Sweet potato,5.0,15.0,3.0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Tapioca,40.0,169.0,4.225
Andaman and Nicobar Islands,NICOBARS,2001,Kharif,Arecanut,1254.0,2061.0,1.6435406698564594
Andaman and Nicobar Islands,NICOBARS,2001,Kharif,Other Kharif pulses,2.0,1.0,0.5
Andaman and Nicobar Islands,NICOBARS,2001,Kharif,Rice,83.0,300.0,3.6144578313253013
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Cashewnut,719.0,192.0,0.2670375521557719
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Coconut,18190.0,64430000.0,3542.0560747663553
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Dry ginger,46.0,100.0,2.1739130434782608
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Sugarcane,1.0,1.0,1.0
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Sweet potato,11.0,33.0,3.0
Andaman and Nicobar Islands,NICOBARS,2002,Kharif,Rice,189.2,510.84,2.7
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Arecanut,1258.0,2083.0,1.6558028616852147
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Banana,213.0,1278.0,6.0
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Black pepper,63.0,13.5,0.21428571428571427
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Cashewnut,719.0,208.0,0.28929068150208626
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Coconut,18240.0,67490000.0,3700.1096491228072
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Dry chillies,413.0,28.8,0.06973365617433414
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Dry ginger,47.3,133.0,2.8118393234672308
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Sugarcane,5.0,40.0,8.0
Andaman and Nicobar Islands,NICOBARS,2003,Kharif,Rice,52.0,90.17,1.7340384615384616
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Arecanut,1261.0,1525.0,1.2093576526566217
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Banana,266.0,1763.0,6.62781954887218
